veri_prob	true_prob	false_prob	half_prob	num
0.0160317382898274	0.015228184044422444	0.011418760894441712	0.01218028707284471	10
0.1653305930124839	0.16464017143002246	0.04698037545312613	0.059264929642308874	10
0.22172641628612225	0.22816813911612824	0.047825671899177045	0.06355368055606365	10
0.26165504180459276	0.27703380018101986	0.04031171876237116	0.057167115602770435	10
0.2856755882346909	0.30629164398026454	0.029862847637962105	0.04570741559940335	10
0.29987071267738463	0.3224712409228855	0.020549437216315334	0.03425131858687129	10
0.3084717350251478	0.3312700120329282	0.01335889199609181	0.024450272936764807	10
0.3146209317196645	0.3375182747407824	0.008457657507382421	0.017058547225455113	10
0.31916932890098615	0.34242386486645965	0.005464234033431245	0.012086783664934604	10
0.3225343644991896	0.34610699134707695	0.0036902690645312665	0.008859486880440103	10
0.3254188303428601	0.3491231401961084	0.0025921826499369317	0.00670129912261241	10
0.3280526228450832	0.3519247966000819	0.001875943324774064	0.005195020577728367	10
0.33076128422026946	0.3549785436699437	0.0013917809998716002	0.004110823810118843	10
0.3331974853338976	0.3579117047682909	0.0010472289532241046	0.0033037577766406256	10
0.33508581358312417	0.36030871874693937	8.016727199425526E-4	0.0026955599590374915	10
0.3362739616796162	0.36182064672779746	6.282270108442698E-4	0.002234270205367381	10
0.3372527863681182	0.3630360858093067	5.043075107842161E-4	0.0018814666916377692	10
0.33814685055977856	0.3641150756132646	4.131250596239722E-4	0.001602004829180753	10
0.33908038592204165	0.36517583306449874	3.429870741233976E-4	0.0013748784077611245	10
0.3401429093014869	0.3663971276736511	2.877899976978659E-4	0.0011830523005672956	10
0.3413839969516254	0.36783916807790684	2.4473752924104386E-4	0.0010223321457085864	10
0.34277189490522514	0.3695879204385005	2.1012125273527944E-4	8.894230596538015E-4	10
0.3439457314397839	0.3712328704861977	1.819978677718885E-4	7.794111415701181E-4	10
0.344886346679573	0.37260306969807144	1.5941070183850462E-4	6.886371706662336E-4	10
0.34564565664227725	0.37366681221597475	1.4105736175391547E-4	6.137130801337129E-4	10
0.3462594526538615	0.37444284105008413	1.2570650318072601E-4	5.51259121321646E-4	10
0.34678299797860523	0.37506712500881484	1.1261555371578446E-4	4.981931441571537E-4	10
0.3472625257160424	0.3756413927138055	1.0140534303580092E-4	4.5317327613557097E-4	10
0.34771829872966703	0.376238790298495	9.182917169566747E-5	4.1529942202017683E-4	10
0.3481624959964327	0.37687266375142936	8.373113504235448E-5	3.8338411594999474E-4	10
0.34856521063554025	0.3774654948001824	7.682304299786729E-5	3.563808339056869E-4	10
0.3489365035425389	0.3779963019797331	7.100278999552208E-5	3.359416032420741E-4	10
0.3493287350111801	0.3785494984019641	6.570873516154217E-5	3.180603799335954E-4	10
0.3497857431032535	0.3792257637403326	6.069738086277077E-5	3.020223262318698E-4	10
0.3503237739925195	0.38006841941610875	5.587893861942043E-5	2.8744631087674135E-4	10
0.3508816634506608	0.3809805040220292	5.118599562364142E-5	2.7452777278981066E-4	10
0.3514270198414635	0.38191609755444295	4.7193028015061964E-5	2.6416795898664546E-4	10
0.3519509616485197	0.3828303682910477	4.3639119788703025E-5	2.5503791643026306E-4	10
0.3524664594995027	0.3837240663649213	4.05021923239181E-5	2.4892880355652664E-4	10
0.35303804734484484	0.38468557820904514	3.770360630500684E-5	2.4293333829962047E-4	10
0.3536932021034735	0.38577872691149906	3.511603106493691E-5	2.366585559580885E-4	10
0.3544190971073641	0.387001068160462	3.2766969802125864E-5	2.3046033331215518E-4	10
0.35513047457825475	0.3881763392619742	3.071677289755586E-5	2.247206271433268E-4	10
0.3557196327163581	0.3891604272143303	2.8941853638927218E-5	2.1970315473144897E-4	10
0.3561603960870373	0.3898327061202827	2.7393242451042797E-5	2.1537650948304333E-4	10
0.35649094293858663	0.3902728391505976	2.6018419366813168E-5	2.1143091280569607E-4	10
0.3567374298933754	0.3905628316126678	2.5011162045759256E-5	2.0859847366383396E-4	10
0.3569581928916229	0.3907874586248099	2.409119124930115E-5	2.059974282422222E-4	10
0.35711673216911205	0.39098718270311744	2.3257613902330678E-5	2.0288729449435797E-4	10
0.35723778389147715	0.39117681755350747	2.2532665070919578E-5	2.009633967888352E-4	10
0.35732253568397027	0.39132521508714013	2.233844693467092E-5	2.000236379835785E-4	10
0.35738805424651854	0.3914368855003934	2.2173624033704423E-5	1.9923548248655985E-4	10
0.3574459515621168	0.3915240910148069	2.2034348154921247E-5	1.9858177640758994E-4	10
0.3575100431446416	0.3916063311006486	2.1916469969640073E-5	1.98033531320125E-4	10
0.35755843171369794	0.3916694135898019	2.1847120479464854E-5	1.9763811360758288E-4	10
0.35759153372856717	0.391707004279478	2.1787380649994665E-5	1.972883589900382E-4	10
0.35762210294582	0.39172820436044964	2.1735610672006175E-5	1.9697604607404038E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
0.3576353457677645	0.3917254055557363	2.1690220093858704E-5	1.9669702377240702E-4	10
